DataObito,TipificacaoJuridico,Municipio,Bairro,Rua/Logradouro,RISP,IdadeEnvolvido,Genero,CorEnvolvido,Latitude,Longitude
1/1/1996,Homicídio Doloso,MUNIZ FREIRE,,,RISP 05,39,1 - Masculino,Não Informado,,
1/1/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,21,1 - Masculino,Não Informado,,
1/1/1996,Homicídio Doloso,VITORIA,,,RISP 01,23,1 - Masculino,Não Informado,,
1/1/1996,Homicídio Doloso,SERRA,,,RISP 01,,1 - Masculino,Não Informado,,
1/1/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,,1 - Masculino,Não Informado,,
1/1/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,,2 - Feminino,Não Informado,,
1/2/1996,Homicídio Doloso,VITORIA,,,RISP 01,16,1 - Masculino,Não Informado,,
1/2/1996,Homicídio Doloso,VITORIA,,,RISP 01,17,1 - Masculino,Não Informado,,
1/2/1996,Homicídio Doloso,VITORIA,,,RISP 01,42,1 - Masculino,Não Informado,,
1/2/1996,Homicídio Doloso,VITORIA,,,RISP 01,21,1 - Masculino,Não Informado,,
1/2/1996,Homicídio Doloso,SERRA,,,RISP 01,21,1 - Masculino,Não Informado,,
1/3/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,,1 - Masculino,Não Informado,,
1/3/1996,Homicídio Doloso,SERRA,,,RISP 01,19,1 - Masculino,Não Informado,,
1/3/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,13,2 - Feminino,Não Informado,,
1/4/1996,Homicídio Doloso,CACHOEIRO DE ITAPEMIRIM,,,RISP 03,19,1 - Masculino,Não Informado,,
1/4/1996,Homicídio Doloso,VITORIA,,,RISP 01,33,1 - Masculino,Não Informado,,
1/4/1996,Homicídio Doloso,VITORIA,,,RISP 01,16,2 - Feminino,Não Informado,,
1/4/1996,Homicídio Doloso,SERRA,,,RISP 01,28,2 - Feminino,Não Informado,,
1/5/1996,Homicídio Doloso,NOVA VENECIA,,,RISP 04,36,1 - Masculino,Não Informado,,
1/6/1996,Homicídio Doloso,VITORIA,,,RISP 01,30,1 - Masculino,Não Informado,,
1/6/1996,Homicídio Doloso,IBATIBA,,,RISP 05,43,1 - Masculino,Não Informado,,
1/6/1996,Homicídio Doloso,CACHOEIRO DE ITAPEMIRIM,,,RISP 03,53,1 - Masculino,Não Informado,,
1/6/1996,Homicídio Doloso,CACHOEIRO DE ITAPEMIRIM,,,RISP 03,26,1 - Masculino,Não Informado,,
1/6/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,30,1 - Masculino,Não Informado,,
1/7/1996,Homicídio Doloso,GUACUI,,,RISP 03,24,1 - Masculino,Não Informado,,
1/7/1996,Homicídio Doloso,LINHARES,,,RISP 02,26,1 - Masculino,Não Informado,,
1/7/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,17,1 - Masculino,Não Informado,,
1/7/1996,Homicídio Doloso,PANCAS,,,RISP 04,46,1 - Masculino,Não Informado,,
1/7/1996,Homicídio Doloso,IUNA,,,RISP 05,33,1 - Masculino,Não Informado,,
1/7/1996,Homicídio Doloso,SERRA,,,RISP 01,32,1 - Masculino,Não Informado,,
1/7/1996,Homicídio Doloso,CACHOEIRO DE ITAPEMIRIM,,,RISP 03,28,1 - Masculino,Não Informado,,
1/8/1996,Homicídio Doloso,SERRA,,,RISP 01,29,1 - Masculino,Não Informado,,
1/8/1996,Homicídio Doloso,CARIACICA,,,RISP 01,36,1 - Masculino,Não Informado,,
1/8/1996,Homicídio Doloso,ITARANA,,,RISP 05,60,1 - Masculino,Não Informado,,
1/8/1996,Homicídio Doloso,VITORIA,,,RISP 01,28,1 - Masculino,Não Informado,,
1/9/1996,Homicídio Doloso,VITORIA,,,RISP 01,23,1 - Masculino,Não Informado,,
1/9/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,59,1 - Masculino,Não Informado,,
1/9/1996,Homicídio Doloso,VITORIA,,,RISP 01,26,1 - Masculino,Não Informado,,
1/10/1996,Homicídio Doloso,CARIACICA,,,RISP 01,,1 - Masculino,Não Informado,,
1/10/1996,Homicídio Doloso,CARIACICA,,,RISP 01,22,1 - Masculino,Não Informado,,
1/10/1996,Homicídio Doloso,SERRA,,,RISP 01,58,1 - Masculino,Não Informado,,
1/10/1996,Homicídio Doloso,SERRA,,,RISP 01,16,1 - Masculino,Não Informado,,
1/11/1996,Homicídio Doloso,VITORIA,,,RISP 01,62,1 - Masculino,Não Informado,,
1/12/1996,Homicídio Doloso,VITORIA,,,RISP 01,38,1 - Masculino,Não Informado,,
1/12/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,24,1 - Masculino,Não Informado,,
1/13/1996,Homicídio Doloso,CARIACICA,,,RISP 01,22,1 - Masculino,Não Informado,,
1/13/1996,Homicídio Doloso,VITORIA,,,RISP 01,18,1 - Masculino,Não Informado,,
1/13/1996,Homicídio Doloso,VITORIA,,,RISP 01,33,2 - Feminino,Não Informado,,
1/14/1996,Homicídio Doloso,ARACRUZ,,,RISP 02,18,1 - Masculino,Não Informado,,
1/14/1996,Homicídio Doloso,VENDA NOVA DO IMIGRANTE,,,RISP 05,27,1 - Masculino,Não Informado,,
1/14/1996,Homicídio Doloso,ARACRUZ,,,RISP 02,22,1 - Masculino,Não Informado,,
1/14/1996,Homicídio Doloso,VITORIA,,,RISP 01,21,1 - Masculino,Não Informado,,
1/15/1996,Homicídio Doloso,PEDRO CANARIO,,,RISP 02,23,1 - Masculino,Não Informado,,
1/16/1996,Homicídio Doloso,SERRA,,,RISP 01,23,1 - Masculino,Não Informado,,
1/16/1996,Homicídio Doloso,GUARAPARI,,,RISP 01,35,1 - Masculino,Não Informado,,
1/16/1996,Homicídio Doloso,SERRA,,,RISP 01,30,1 - Masculino,Não Informado,,
1/17/1996,Homicídio Doloso,VARGEM ALTA,,,RISP 03,,1 - Masculino,Não Informado,,
1/17/1996,Homicídio Doloso,SERRA,,,RISP 01,22,1 - Masculino,Não Informado,,
1/17/1996,Homicídio Doloso,VITORIA,,,RISP 01,29,1 - Masculino,Não Informado,,
1/17/1996,Homicídio Doloso,JAGUARE,,,RISP 02,67,1 - Masculino,Não Informado,,
1/17/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,29,2 - Feminino,Não Informado,,
1/18/1996,Homicídio Doloso,GUARAPARI,,,RISP 01,48,1 - Masculino,Não Informado,,
1/19/1996,Homicídio Doloso,CARIACICA,,,RISP 01,,1 - Masculino,Não Informado,,
1/19/1996,Homicídio Doloso,CARIACICA,,,RISP 01,22,1 - Masculino,Não Informado,,
1/19/1996,Homicídio Doloso,CARIACICA,,,RISP 01,18,1 - Masculino,Não Informado,,
1/19/1996,Homicídio Doloso,SERRA,,,RISP 01,19,1 - Masculino,Não Informado,,
1/19/1996,Homicídio Doloso,CARIACICA,,,RISP 01,,2 - Feminino,Não Informado,,
1/20/1996,Homicídio Doloso,SAO JOSE DO CALCADO,,,RISP 03,25,1 - Masculino,Não Informado,,
1/20/1996,Homicídio Doloso,VITORIA,,,RISP 01,21,1 - Masculino,Não Informado,,
1/20/1996,Homicídio Doloso,VITORIA,,,RISP 01,23,1 - Masculino,Não Informado,,
1/20/1996,Homicídio Doloso,VITORIA,,,RISP 01,20,1 - Masculino,Não Informado,,
1/20/1996,Homicídio Doloso,JAGUARE,,,RISP 02,20,1 - Masculino,Não Informado,,
1/21/1996,Homicídio Doloso,VIANA,,,RISP 01,39,1 - Masculino,Não Informado,,
1/21/1996,Homicídio Doloso,SERRA,,,RISP 01,41,1 - Masculino,Não Informado,,
1/21/1996,Homicídio Doloso,CARIACICA,,,RISP 01,28,1 - Masculino,Não Informado,,
1/21/1996,Homicídio Doloso,COLATINA,,,RISP 04,22,1 - Masculino,Não Informado,,
1/21/1996,Homicídio Doloso,VITORIA,,,RISP 01,22,1 - Masculino,Não Informado,,
1/22/1996,Homicídio Doloso,PIUMA,,,RISP 03,43,1 - Masculino,Não Informado,,
1/22/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,39,1 - Masculino,Não Informado,,
1/22/1996,Homicídio Doloso,SERRA,,,RISP 01,36,1 - Masculino,Não Informado,,
1/22/1996,Homicídio Doloso,AFONSO CLAUDIO,,,RISP 05,23,1 - Masculino,Não Informado,,
